gene,gene_id,logFC,logCPM,F,PValue,FDR
EIF2S3L,ENSG00000180574,0.132937494984906,7.56661490162387,2.65803135676517,0.114860031168279,0.301294618026262
SRP9P1,ENSG00000180581,0.174619396058106,6.43372493398499,1.44900145159918,0.239376747772047,0.465209487549406
SKIDA1,ENSG00000180592,0.217747076786141,1.20602948517804,0.833793719596112,0.369412170657206,0.594079150833058
HIST1H2BC,ENSG00000180596,0.19766891918507,9.20085708552296,2.92511770334249,0.0988973287922914,0.275832705763318
MB21D2,ENSG00000180611,-0.15941446041544,5.49140962390531,4.8295043371768,0.0369065686454062,0.153989476072212
ZNF594,ENSG00000180626,-0.135591124921536,4.03731024960875,0.607468937788444,0.442665538152438,0.658733175670494
PCGF5,ENSG00000180628,-0.11867085251789,6.66408122379821,1.37705906239002,0.25104374930221,0.477039444742054
SLC47A2,ENSG00000180638,-2.46260333958383,1.31301107698389,11.6344236088802,0.00217714483143683,0.0287933401919163
MAB21L1,ENSG00000180660,-0.977270728717275,1.10129960699488,6.31854649930774,0.0183913413123365,0.101701519819361
YOD1,ENSG00000180667,0.213590347754991,5.56398602750629,8.12334775404404,0.0083534005599719,0.0641592390175054
EXOC5P1,ENSG00000180673,0.0712533168217309,3.93641684688569,0.344292555288923,0.562328391858843,0.750436386135793
TMEM64,ENSG00000180694,-0.26318254715981,7.1542296628571,14.0617771677237,0.00087405674496105,0.0169649974847228
SHISA2,ENSG00000180730,-0.209905477822988,6.335461589416,0.405179627509364,0.530206375758185,0.72770080528691
SMG1P3,ENSG00000180747,-0.664467346072253,2.50698149234075,4.51139450735842,0.043324192885936,0.168601814574272
GPR157,ENSG00000180758,0.249167451058454,3.98307629454048,1.34084269439154,0.257358035198965,0.483726099095649
PIPSL,ENSG00000180764,0.129595324995695,5.26479293740584,1.38611896206912,0.249529270451704,0.475344388193643
WDFY3_AS2,ENSG00000180769,-0.282869569240595,2.55972059014091,6.50240029643947,0.0168849790795343,0.0965013914582762
SLC36A4,ENSG00000180773,-0.062268497903874,5.23614266746471,1.09543722177965,0.30472399395271,0.531836126489851
ZDHHC20,ENSG00000180776,0.188510950841125,7.98940609169175,4.94325776685604,0.034921363723074,0.148635151122832
ZFP3,ENSG00000180787,-0.364583580958952,2.10288735552657,0.472948132879841,0.497879693799066,0.704119142110767
ARSJ,ENSG00000180801,0.546079996256237,6.222522716029,9.16734516022713,0.00554159604792714,0.0497661301335332
HOXC9,ENSG00000180806,0.29565849531219,3.33505646188312,3.96355877928151,0.0569010046191274,0.198119400115884
PPA1,ENSG00000180817,0.000172888644836411,5.49418593533348,7.01792941465856e-06,0.997906141463403,0.999230347057624
HOXC10,ENSG00000180818,-0.437592015861483,1.2556707342792,0.761869992152283,0.390861062395383,0.61335768059359
PSMG4,ENSG00000180822,-0.13056964659735,3.59154067491053,0.978430845471515,0.331534002051297,0.561559487949849
MAP6D1,ENSG00000180834,-0.201002005541865,1.86953055749141,0.561042872728281,0.460438737962497,0.672521384101512
ZNF443,ENSG00000180855,0.128607731585057,2.29396272217027,1.16865830324276,0.289418657697223,0.515793406237144
PDIA3P1,ENSG00000180867,-0.032071989024271,8.68605878766371,0.0561669605437196,0.81448291749741,0.910005484911787
