gene_id,gene,logFC,logCPM,PValue,FDR
ENSG00000080200,CRYBG3,0.104119287,4.831800251,0.354419444,0.899480925
ENSG00000080293,SCTR,-0.118834977,-1.734309751,0.809320865,0.988237555
ENSG00000080298,RFX3,-0.371812037,2.45189256,0.055994963,0.654599053
ENSG00000080345,RIF1,0.077948385,9.770405417,0.615599219,0.956009593
ENSG00000080371,RAB21,0.173499596,6.297771985,0.188037614,0.803681996
ENSG00000080493,SLC4A4,-0.196500965,2.033255668,0.453439423,0.923486434
ENSG00000080503,SMARCA2,-0.098080522,6.759540865,0.410525795,0.912506347
ENSG00000080546,SESN1,0.083462,7.357350462,0.655134292,0.965528936
ENSG00000080561,MID2,0.031694034,4.341305327,0.779528703,0.98501157
ENSG00000080573,COL5A3,-0.113885253,4.963604025,0.355666823,0.899481605
ENSG00000080603,SRCAP,-0.031407563,6.686278732,0.778617767,0.98481565
ENSG00000080608,PUM3,0.190665684,2.121965535,0.101030414,0.725687243
ENSG00000080644,CHRNA3,0.930033377,-2.072708934,0.068570976,0.678638223
ENSG00000080709,KCNN2,0.194543039,3.283178598,0.509075674,0.934083067
ENSG00000080802,CNOT4,-0.113247667,5.141168317,0.28113627,0.863186494
ENSG00000080815,PSEN1,-0.12533758,4.108143117,0.170317397,0.793991007
ENSG00000080819,CPOX,0.030763363,4.040218333,0.746160257,0.979370225
ENSG00000080822,CLDND1,0.116878943,4.657670136,0.199448799,0.812308163
ENSG00000080823,MOK,0.183635307,0.967553489,0.340219837,0.893463789
ENSG00000080824,HSP90AA1,0.295683326,8.561278028,0.09722241,0.718667714
ENSG00000080839,RBL1,-0.112341184,3.930320713,0.457229931,0.925249712
ENSG00000080845,DLGAP4,0.075148551,6.774818406,0.610230205,0.955535892
ENSG00000080854,IGSF9B,0.881937916,2.301769288,0.001932396,0.306319612
ENSG00000080947,CROCCP3,0.018176945,2.983722572,0.876313096,0.992229803
ENSG00000080986,NDC80,-0.815207673,-2.181814536,0.02539821,0.580133284
ENSG00000081014,AP4E1,-0.191372001,4.054603089,0.146300271,0.768104931
